,StationFront,Year,Tmean,Smean,Lmean,Tmin,Smin,Lmin,Tmax,Smax,Lmax,Tsd,Ssd,Lsd,Counts,SpecCode,Cover,Latitude,Longitude
157,CRMS0030,2008,24.00465012,2.429834515,-0.282179669,6.7,0.64,-1.16,36.48,5.37,1.25,6.080153427,0.888473559,0.467347355,4230,Aaustralis,0.01,30.30482,-90.32942
176,CRMS0030,2009,24.57566609,3.315475068,-0.291684446,2.91,0.93,-1.16,38.32,5.32,1.62,6.102141161,0.715898274,0.570615066,4031,Aaustralis,0.032,30.30482,-90.32942
198,CRMS0030,2010,23.75590431,1.482118822,-0.090152471,3.08,0.3,-1.1,36.88,2.8,2.08,7.581143064,0.40620196,0.559304043,3804,Aaustralis,0.096,30.30482,-90.32942
209,CRMS0030,2011,24.85228048,2.372834529,-0.181132822,1.95,0.23,-1.16,35.79,4.82,1.72,5.7003854,0.977953198,0.549395064,4043,Aaustralis,0.003,30.30482,-90.32942
231,CRMS0030,2012,24.03868212,1.920873127,0.008960674,3.22,0.6,-1.28,35.26,4.17,2.03,5.179276978,0.498746226,0.550624087,4272,Aaustralis,0.003,30.30482,-90.32942
265,CRMS0030,2015,23.31003918,0.879290159,-0.321614888,2.86,0.18,-2.046,35.4,1.96,1.291,7.083737203,0.469007617,0.600434072,4339,Aaustralis,0.005,30.30482,-90.32942
299,CRMS0030,2017,24.339436,0.405554788,-0.04862477,13.08,0.06,-1.425,32.67,1.13,3.222,4.589414843,0.192663065,0.656983064,4344,Aaustralis,0.015,30.30482,-90.32942
309,CRMS0033,2007,29.51150657,3.756107179,0.035844287,20.86,2.43,-0.78,39.47,4.65,1.25,3.18359432,0.475720163,0.456417201,1978,Aaustralis,0.0205,30.27445,-90.3855
334,CRMS0033,2008,25.10615152,2.782019521,-0.050002324,5.41,1.11,-0.86,37.34,5.09,1.28,6.438452023,0.766479383,0.408525116,4303,Aaustralis,0.029,30.27445,-90.3855
349,CRMS0033,2009,25.38542425,3.775636965,-0.115807138,3.08,2.14,-0.99,40.36,6.37,1.82,6.622566946,0.657579209,0.565052523,4231,Aaustralis,0.068,30.27445,-90.3855
360,CRMS0033,2010,24.40583625,1.577448673,0.082896845,1.43,0.29,-0.9,38.2,3.84,2.16,8.150871653,0.491004812,0.523454204,3994,Aaustralis,0.033,30.27445,-90.3855
370,CRMS0033,2011,25.75188301,2.75715736,-0.019207155,0.81,0.27,-0.93,39.83,4.49,1.72,6.4809549,0.801320261,0.516514973,4137,Aaustralis,0.112,30.27445,-90.3855
383,CRMS0033,2012,26.58444896,2.077527755,0.298093691,11.61,1.16,-1.05,33.94,3.14,2.11,3.615554448,0.541713437,0.530233033,3693,Aaustralis,0.014,30.27445,-90.3855
402,CRMS0033,2013,23.81318144,1.013011254,0.390927807,9.27,0.15,-0.4,37.31,1.89,1.77,6.235929621,0.339376413,0.433462194,3643,Aaustralis,0.005,30.27445,-90.3855
409,CRMS0033,2014,23.78620878,1.002841985,0.096718956,2.42,0.29,-0.483,37.28,1.91,1.617,6.863051126,0.370369145,0.472827618,3487,Aaustralis,0.024,30.27445,-90.3855
428,CRMS0033,2015,24.28817881,0.835975316,0.15439103,5.17,0.33,-0.507,36.91,1.88,1.237,5.905787868,0.335617149,0.418843489,3322,Aaustralis,0.009,30.27445,-90.3855
467,CRMS0034,2007,28.86114615,3.147107107,-0.049184184,20.13,1.67,-1.07,39.25,4.43,1.26,3.108251805,0.582736486,0.500155995,1998,Aaustralis,0.025,30.30348,-90.3855
483,CRMS0034,2008,25.15009082,2.443340697,-0.112380952,5.79,0.52,-1.09,38.9,4.51,1.33,6.205469599,0.818122267,0.475701481,4074,Aaustralis,0.113,30.30348,-90.3855
497,CRMS0034,2009,25.26473249,3.091731518,-0.159029669,3.79,0.16,-1.09,38.98,5.08,1.7,6.430903687,0.6599678,0.583526223,4112,Aaustralis,0.114,30.30348,-90.3855
